pF,time
254.900009155273,543695137.712778
254.699996948242,543695137.742189
254.900009155273,543695137.824593
254.800003051758,543695137.824710
254.800003051758,543695137.865850
254.800003051758,543695137.907171
254.600006103516,543695137.948261
254.600006103516,543695137.989534
254.600006103516,543695138.030856
254.900009155273,543695138.072141
254.900009155273,543695138.113312
255.100006103516,543695138.154524
255.100006103516,543695138.195763
255.300003051758,543695138.237145
255.199996948242,543695138.278417
255.199996948242,543695138.360913
255.199996948242,543695138.361007
255.199996948242,543695138.402152
255.100006103516,543695138.443430
255.100006103516,543695138.484656
255.100006103516,543695138.526186
255.0,543695138.567203
254.600006103516,543695138.608490
254.400009155273,543695138.649662
254.400009155273,543695138.690949
254.300003051758,543695138.732019
254.300003051758,543695138.773438
254.300003051758,543695138.814725
254.300003051758,543695138.855518
254.100006103516,543695138.897245
254.100006103516,543695138.938346
254.0,543695138.979622
254.0,543695139.020887
254.0,543695139.062112
254.100006103516,543695139.103445
254.100006103516,543695139.144678
254.100006103516,543695139.185956
254.100006103516,543695139.227117
254.100006103516,543695139.268603
254.100006103516,543695139.309482
254.100006103516,543695139.350833
254.100006103516,543695139.392158
254.0,543695139.433305
254.0,543695139.474633
254.0,543695139.515729
253.800003051758,543695139.557066
253.800003051758,543695139.598374
253.699996948242,543695139.639472
253.800003051758,543695139.680843
253.699996948242,543695139.722183
253.600006103516,543695139.763492
253.600006103516,543695139.804644
253.600006103516,543695139.846195
253.600006103516,543695139.887131
253.699996948242,543695139.928435
253.699996948242,543695139.969639
253.699996948242,543695140.011073
253.699996948242,543695140.052131
254.0,543695140.093378
254.0,543695140.134523
253.900009155273,543695140.175922
253.900009155273,543695140.216913
253.900009155273,543695140.258395
254.199996948242,543695140.299560
254.400009155273,543695140.340934
254.5,543695140.382109
254.600006103516,543695140.423438
254.600006103516,543695140.464692
254.800003051758,543695140.505884
254.800003051758,543695140.547096
255.100006103516,543695140.588360
255.100006103516,543695140.629596
255.199996948242,543695140.671172
255.400009155273,543695140.712058
255.699996948242,543695140.753135
255.699996948242,543695140.794623
255.600006103516,543695140.835923
255.5,543695140.877111
255.5,543695140.918409
255.100006103516,543695140.959623
255.100006103516,543695141.000417
255.0,543695141.042181
254.800003051758,543695141.083432
254.600006103516,543695141.124629
254.5,543695141.165665
254.300003051758,543695141.207094
254.100006103516,543695141.248193
254.0,543695141.289520
253.900009155273,543695141.330946
253.900009155273,543695141.371953
254.0,543695141.413561
254.0,543695141.454592
253.699996948242,543695141.537013
253.699996948242,543695141.537131
253.699996948242,543695141.578566
253.800003051758,543695141.619912
253.800003051758,543695141.660988
253.800003051758,543695141.702080
253.800003051758,543695141.743271
253.800003051758,543695141.784760
254.0,543695141.867383
254.0,543695141.908289
253.900009155273,543695141.949717
253.800003051758,543695141.990961
253.699996948242,543695142.032247
253.699996948242,543695142.073461
253.699996948242,543695142.114731
253.5,543695142.156006
253.5,543695142.197278
253.800003051758,543695142.238286
253.800003051758,543695142.279698
253.600006103516,543695142.320963
253.600006103516,543695142.362231
253.900009155273,543695142.403426
253.900009155273,543695142.444550
253.800003051758,543695142.486024
253.800003051758,543695142.527051
253.699996948242,543695142.568458
253.900009155273,543695142.650810
253.900009155273,543695142.650913
253.900009155273,543695142.692188
253.800003051758,543695142.733499
253.600006103516,543695142.774724
253.600006103516,543695142.815999
253.600006103516,543695142.857260
253.400009155273,543695142.898447
253.699996948242,543695142.939869
253.600006103516,543695142.980880
253.600006103516,543695143.022183
253.400009155273,543695143.063423
253.400009155273,543695143.104720
253.600006103516,543695143.145427
253.699996948242,543695143.187240
253.699996948242,543695143.228042
253.699996948242,543695143.269764
253.600006103516,543695143.310936
253.600006103516,543695143.352135
