pF,time
258.800018310547,543008517.977411
258.700012207031,543008518.018469
258.399993896484,543008518.059636
258.399993896484,543008518.100890
258.300018310547,543008518.142319
257.899993896484,543008518.224910
257.800018310547,543008518.225002
257.300018310547,543008518.266204
257.200012207031,543008518.307223
257.200012207031,543008518.348319
257.200012207031,543008518.389841
257.300018310547,543008518.431226
258.399993896484,543008518.472313
258.899993896484,543008518.513450
259.5,543008518.554840
259.5,543008518.595840
259.5,543008518.637567
258.800018310547,543008518.678696
258.300018310547,543008518.719878
258.200012207031,543008518.761138
258.200012207031,543008518.802136
257.5,543008518.843670
257.100006103516,543008518.884707
257.100006103516,543008518.926447
256.0,543008518.967125
255.699996948242,543008519.008628
255.300003051758,543008519.049711
255.199996948242,543008519.091298
255.199996948242,543008519.132198
254.5,543008519.173579
254.0,543008519.214802
253.100006103516,543008519.256270
251.900009155273,543008519.297466
251.300003051758,543008519.338717
250.100006103516,543008519.379875
249.300003051758,543008519.420763
249.100006103516,543008519.462470
248.699996948242,543008519.503711
247.900009155273,543008519.545077
247.900009155273,543008519.586411
248.100006103516,543008519.627470
248.5,543008519.668697
248.699996948242,543008519.709984
249.800003051758,543008519.751052
250.199996948242,543008519.792507
250.699996948242,543008519.833530
250.800003051758,543008519.874974
250.800003051758,543008519.916004
250.900009155273,543008519.957409
251.0,543008519.998556
251.100006103516,543008520.039954
251.100006103516,543008520.081048
250.600006103516,543008520.122453
250.600006103516,543008520.163615
250.600006103516,543008520.204767
250.699996948242,543008520.245780
250.699996948242,543008520.287297
250.699996948242,543008520.328615
250.600006103516,543008520.370006
250.600006103516,543008520.411187
250.5,543008520.493623
250.400009155273,543008520.493729
250.400009155273,543008520.534759
250.400009155273,543008520.576165
250.400009155273,543008520.617221
250.400009155273,543008520.658531
250.400009155273,543008520.699853
250.400009155273,543008520.741399
250.400009155273,543008520.781917
250.5,543008520.823480
250.400009155273,543008520.864753
250.600006103516,543008520.906268
250.600006103516,543008520.947104
250.600006103516,543008521.029724
250.600006103516,543008521.029829
250.5,543008521.071002
250.5,543008521.112381
250.5,543008521.153662
250.5,543008521.195073
250.5,543008521.235725
250.5,543008521.277295
250.5,543008521.318432
250.5,543008521.359693
250.5,543008521.401439
250.300003051758,543008521.442011
250.300003051758,543008521.483493
250.5,543008521.524751
250.5,543008521.565989
250.5,543008521.607343
250.400009155273,543008521.648326
250.5,543008521.689732
250.400009155273,543008521.731090
250.5,543008521.772244
250.5,543008521.813669
250.600006103516,543008521.854732
250.600006103516,543008521.896231
250.5,543008521.937287
250.300003051758,543008521.978499
250.5,543008522.060679
250.600006103516,543008522.102593
250.600006103516,543008522.143402
250.600006103516,543008522.184718
250.400009155273,543008522.225982
250.300003051758,543008522.267351
250.300003051758,543008522.308394
250.300003051758,543008522.349710
250.5,543008522.390922
250.199996948242,543008522.431940
250.300003051758,543008522.473647
250.300003051758,543008522.514789
250.400009155273,543008522.556094
250.400009155273,543008522.597054
250.400009155273,543008522.638457
250.400009155273,543008522.679881
250.400009155273,543008522.721258
250.600006103516,543008522.762207
250.800003051758,543008522.803506
251.100006103516,543008522.844829
251.100006103516,543008522.886154
251.199996948242,543008522.968528
251.699996948242,543008522.968620
252.100006103516,543008523.009648
252.199996948242,543008523.050962
252.900009155273,543008523.092529
253.100006103516,543008523.133256
253.5,543008523.174697
253.699996948242,543008523.216089
253.900009155273,543008523.257202
254.5,543008523.298540
254.800003051758,543008523.339831
255.300003051758,543008523.422441
255.300003051758,543008523.422534
256.300018310547,543008523.463748
256.399993896484,543008523.505184
257.300018310547,543008523.546104
258.0,543008523.587472
258.899993896484,543008523.628586
259.399993896484,543008523.669978
260.100006103516,543008523.711187
260.899993896484,543008523.752666
261.5,543008523.793726
261.800018310547,543008523.834975
262.200012207031,543008523.876129
262.5,543008523.917536
262.600006103516,543008523.999517
262.899993896484,543008523.999841
263.0,543008524.041052
263.100006103516,543008524.082304
263.399993896484,543008524.123777
264.100006103516,543008524.164816
264.5,543008524.206046
265.100006103516,543008524.247288
266.0,543008524.288565
266.800018310547,543008524.329979
267.399993896484,543008524.371325
267.700012207031,543008524.412314
268.100006103516,543008524.453533
268.800018310547,543008524.494689
269.399993896484,543008524.536190
269.5,543008524.577297
270.100006103516,543008524.618540
270.200012207031,543008524.659785
270.300018310547,543008524.701037
270.399993896484,543008524.742634
270.399993896484,543008524.783350
270.5,543008524.824827
270.399993896484,543008524.866033
270.300018310547,543008524.907273
270.100006103516,543008524.948240
270.100006103516,543008524.989606
269.800018310547,543008525.031044
269.600006103516,543008525.071990
269.5,543008525.113702
269.399993896484,543008525.154980
269.300018310547,543008525.196123
269.200012207031,543008525.237267
269.100006103516,543008525.278200
268.899993896484,543008525.319938
268.800018310547,543008525.361227
268.5,543008525.402221
268.200012207031,543008525.443583
268.200012207031,543008525.484629
267.899993896484,543008525.526102
267.800018310547,543008525.567304
267.5,543008525.608293
267.300018310547,543008525.649802
267.300018310547,543008525.691380
266.899993896484,543008525.732216
266.700012207031,543008525.773726
266.600006103516,543008525.814799
266.0,543008525.856348
265.899993896484,543008525.897514
265.700012207031,543008525.938503
265.0,543008525.979848
264.5,543008526.021052
263.200012207031,543008526.062404
261.399993896484,543008526.103490
260.100006103516,543008526.145088
258.5,543008526.186138
257.100006103516,543008526.226979
255.400009155273,543008526.268719
253.800003051758,543008526.309843
252.600006103516,543008526.350984
251.0,543008526.392440
249.699996948242,543008526.433495
248.600006103516,543008526.475151
248.300003051758,543008526.515736
247.699996948242,543008526.557461
247.699996948242,543008526.598512
247.5,543008526.639703
247.5,543008526.680970
247.800003051758,543008526.722228
248.5,543008526.763550
248.699996948242,543008526.805098
249.0,543008526.846154
249.300003051758,543008526.887298
249.600006103516,543008526.928668
249.900009155273,543008526.970121
250.0,543008527.011137
250.0,543008527.052558
250.0,543008527.093686
250.800003051758,543008527.134838
251.400009155273,543008527.176342
251.400009155273,543008527.217195
251.400009155273,543008527.258458
251.400009155273,543008527.300203
251.5,543008527.341179
251.5,543008527.382349
251.5,543008527.423570
251.5,543008527.464818
251.5,543008527.506403
251.100006103516,543008527.547224
251.100006103516,543008527.588615
251.0,543008527.629830
251.100006103516,543008527.671072
250.900009155273,543008527.712494
250.900009155273,543008527.753416
250.800003051758,543008527.794942
250.699996948242,543008527.836064
250.699996948242,543008527.877330
250.800003051758,543008527.918318
250.800003051758,543008527.959721
250.800003051758,543008528.000988
250.5,543008528.042211
250.5,543008528.083499
250.5,543008528.124965
250.600006103516,543008528.166040
250.699996948242,543008528.207353
250.699996948242,543008528.248558
250.600006103516,543008528.289813
250.600006103516,543008528.331050
250.5,543008528.372283
250.600006103516,543008528.413381
250.5,543008528.454809
250.5,543008528.496354
250.400009155273,543008528.537166
250.400009155273,543008528.578546
250.400009155273,543008528.619808
250.300003051758,543008528.661238
250.400009155273,543008528.702658
250.400009155273,543008528.743365
250.5,543008528.784824
250.5,543008528.825840
250.5,543008528.867293
250.400009155273,543008528.908658
250.300003051758,543008528.949448
250.300003051758,543008528.991057
250.300003051758,543008529.031945
250.100006103516,543008529.073815
250.100006103516,543008529.114518
250.199996948242,543008529.156083
250.199996948242,543008529.238490
250.199996948242,543008529.238582
250.100006103516,543008529.279877
250.100006103516,543008529.321055
250.400009155273,543008529.362284
250.5,543008529.403744
250.600006103516,543008529.444938
250.600006103516,543008529.486262
251.0,543008529.527424
251.0,543008529.568545
251.100006103516,543008529.609767
251.400009155273,543008529.651020
252.100006103516,543008529.733539
252.800003051758,543008529.733629
253.0,543008529.775061
253.699996948242,543008529.857548
253.900009155273,543008529.857641
253.900009155273,543008529.939790
254.100006103516,543008529.939913
254.100006103516,543008529.981023
254.400009155273,543008530.022257
254.400009155273,543008530.063277
254.699996948242,543008530.104765
254.900009155273,543008530.145875
255.5,543008530.187344
256.0,543008530.269677
257.0,543008530.269779
257.800018310547,543008530.311036
258.399993896484,543008530.352253
260.300018310547,543008530.393710
261.200012207031,543008530.434953
261.300018310547,543008530.476330
261.600006103516,543008530.517033
261.899993896484,543008530.558501
262.600006103516,543008530.599909
263.0,543008530.641077
263.100006103516,543008530.682233
263.600006103516,543008530.723465
263.899993896484,543008530.847021
264.300018310547,543008530.888548
264.800018310547,543008530.888640
264.899993896484,543008530.889068
264.899993896484,543008530.929733
264.899993896484,543008530.971273
265.700012207031,543008531.012355
265.800018310547,543008531.053707
266.200012207031,543008531.094962
266.600006103516,543008531.135872
266.600006103516,543008531.177199
266.600006103516,543008531.218666
266.600006103516,543008531.259877
266.5,543008531.300986
266.5,543008531.342216
266.399993896484,543008531.383830
266.399993896484,543008531.425082
266.399993896484,543008531.466139
266.399993896484,543008531.507297
266.399993896484,543008531.548581
266.399993896484,543008531.589607
266.399993896484,543008531.630895
266.300018310547,543008531.672405
266.300018310547,543008531.713598
266.300018310547,543008531.754835
266.300018310547,543008531.796190
266.0,543008531.837341
265.899993896484,543008531.878837
265.100006103516,543008531.919659
264.800018310547,543008531.961115
263.800018310547,543008532.002349
263.0,543008532.043807
261.600006103516,543008532.085186
261.300018310547,543008532.126209
261.100006103516,543008532.167396
260.899993896484,543008532.208574
260.300018310547,543008532.249821
260.100006103516,543008532.291150
259.600006103516,543008532.332305
259.5,543008532.373848
259.0,543008532.414832
258.399993896484,543008532.456183
257.800018310547,543008532.497355
257.399993896484,543008532.538865
257.100006103516,543008532.579915
256.700012207031,543008532.621298
256.5,543008532.662431
255.800003051758,543008532.703729
255.5,543008532.744974
255.5,543008532.786414
255.900009155273,543008532.827297
255.900009155273,543008532.909844
255.800003051758,543008532.909942
255.300003051758,543008532.950706
254.600006103516,543008532.992296
254.199996948242,543008533.033612
253.5,543008533.074636
253.0,543008533.116133
252.699996948242,543008533.198493
252.300003051758,543008533.198619
252.100006103516,543008533.239820
252.0,543008533.281080
251.800003051758,543008533.322614
251.800003051758,543008533.363431
251.400009155273,543008533.404861
251.400009155273,543008533.446214
251.400009155273,543008533.487505
251.199996948242,543008533.528587
250.900009155273,543008533.610737
250.800003051758,543008533.611211
250.699996948242,543008533.652456
250.400009155273,543008533.693576
250.400009155273,543008533.734967
250.400009155273,543008533.776019
250.400009155273,543008533.817521
250.100006103516,543008533.858499
250.100006103516,543008533.899728
250.100006103516,543008533.941376
250.0,543008533.982262
249.900009155273,543008534.023539
249.900009155273,543008534.064820
249.900009155273,543008534.106065
249.900009155273,543008534.146992
249.800003051758,543008534.188523
249.800003051758,543008534.229778
249.800003051758,543008534.271067
249.600006103516,543008534.312237
249.600006103516,543008534.353436
249.800003051758,543008534.394746
250.400009155273,543008534.436258
250.800003051758,543008534.477329
251.5,543008534.518682
252.800003051758,543008534.559621
253.199996948242,543008534.601019
253.300003051758,543008534.642244
253.400009155273,543008534.683622
253.300003051758,543008534.724770
253.300003051758,543008534.766131
253.300003051758,543008534.807384
253.600006103516,543008534.889794
253.699996948242,543008534.890004
254.900009155273,543008534.930787
255.400009155273,543008534.972423
257.100006103516,543008535.013381
257.700012207031,543008535.055101
258.399993896484,543008535.137437
259.700012207031,543008535.137604
262.100006103516,543008535.178724
262.200012207031,543008535.219752
263.200012207031,543008535.261082
264.300018310547,543008535.302486
265.0,543008535.343782
266.200012207031,543008535.384904
266.800018310547,543008535.426342
267.0,543008535.467401
267.0,543008535.508846
267.399993896484,543008535.549849
267.600006103516,543008535.591277
267.700012207031,543008535.632063
268.200012207031,543008535.673730
268.800018310547,543008535.714853
269.300018310547,543008535.756113
269.399993896484,543008535.797331
269.399993896484,543008535.838827
270.0,543008535.879781
270.0,543008535.921242
270.0,543008535.962691
270.0,543008536.003819
270.300018310547,543008536.044940
270.5,543008536.086326
270.5,543008536.127447
270.899993896484,543008536.168486
270.899993896484,543008536.209591
271.100006103516,543008536.251085
271.100006103516,543008536.292329
271.0,543008536.333746
271.0,543008536.374997
270.800018310547,543008536.416153
270.399993896484,543008536.457185
269.200012207031,543008536.498576
267.700012207031,543008536.539917
266.100006103516,543008536.581065
265.100006103516,543008536.622374
264.800018310547,543008536.663585
263.700012207031,543008536.704813
263.0,543008536.746220
262.200012207031,543008536.787157
261.5,543008536.828578
260.800018310547,543008536.869815
260.100006103516,543008536.911174
259.5,543008536.952350
258.600006103516,543008536.993316
257.800018310547,543008537.034788
257.399993896484,543008537.076189
256.899993896484,543008537.117539
256.399993896484,543008537.158818
255.699996948242,543008537.199777
255.5,543008537.241150
255.0,543008537.282310
254.800003051758,543008537.323705
254.0,543008537.364799
253.5,543008537.406244
253.199996948242,543008537.447061
252.5,543008537.488543
252.199996948242,543008537.529699
251.900009155273,543008537.570846
251.600006103516,543008537.612267
251.100006103516,543008537.653536
250.600006103516,543008537.694774
250.600006103516,543008537.736288
250.400009155273,543008537.777218
250.400009155273,543008537.818536
250.199996948242,543008537.859940
250.100006103516,543008537.901205
250.0,543008537.942546
250.0,543008537.983532
250.0,543008538.024827
249.800003051758,543008538.066194
249.600006103516,543008538.107474
249.400009155273,543008538.148556
249.400009155273,543008538.190179
249.400009155273,543008538.231182
249.400009155273,543008538.272238
249.0,543008538.313426
249.0,543008538.355128
249.0,543008538.396112
249.0,543008538.437430
249.0,543008538.478668
249.0,543008538.519908
249.0,543008538.561124
248.900009155273,543008538.602540
248.900009155273,543008538.643488
249.0,543008538.684925
249.0,543008538.726091
248.800003051758,543008538.767543
248.800003051758,543008538.808648
248.800003051758,543008538.850045
248.699996948242,543008538.891031
248.5,543008538.932271
248.699996948242,543008538.973880
248.600006103516,543008539.014737
248.600006103516,543008539.056299
248.600006103516,543008539.097243
248.5,543008539.138670
248.5,543008539.179748
248.5,543008539.262300
248.300003051758,543008539.262413
248.300003051758,543008539.303712
248.100006103516,543008539.345028
248.100006103516,543008539.386160
248.0,543008539.468635
247.900009155273,543008539.468750
247.900009155273,543008539.509993
247.900009155273,543008539.551083
247.800003051758,543008539.592744
247.800003051758,543008539.633645
247.800003051758,543008539.675035
247.900009155273,543008539.716111
247.900009155273,543008539.757345
248.0,543008539.798640
247.900009155273,543008539.840220
247.800003051758,543008539.881095
247.699996948242,543008539.922229
247.699996948242,543008539.963707
247.800003051758,543008540.005018
247.800003051758,543008540.046044
247.800003051758,543008540.087709
247.699996948242,543008540.128708
247.800003051758,543008540.169985
247.800003051758,543008540.211435
247.800003051758,543008540.252354
247.699996948242,543008540.293662
247.699996948242,543008540.335134
247.600006103516,543008540.376232
247.600006103516,543008540.417563
247.600006103516,543008540.458770
247.800003051758,543008540.499636
247.800003051758,543008540.541263
247.800003051758,543008540.582498
247.900009155273,543008540.623820
247.900009155273,543008540.665066
247.800003051758,543008540.705954
247.800003051758,543008540.747390
247.900009155273,543008540.788606
247.900009155273,543008540.829919
247.800003051758,543008540.871259
247.600006103516,543008540.912414
247.800003051758,543008540.953526
247.800003051758,543008540.994993
247.800003051758,543008541.036233
247.800003051758,543008541.077331
247.800003051758,543008541.118300
247.800003051758,543008541.159983
247.800003051758,543008541.201212
247.800003051758,543008541.242317
248.199996948242,543008541.283569
248.199996948242,543008541.324957
247.900009155273,543008541.407409
247.900009155273,543008541.407504
247.900009155273,543008541.448554
248.0,543008541.490005
248.0,543008541.531067
248.300003051758,543008541.572520
248.400009155273,543008541.613568
248.900009155273,543008541.654992
248.900009155273,543008541.695998
249.100006103516,543008541.737521
249.800003051758,543008541.778896
250.100006103516,543008541.819983
250.5,543008541.861235
250.900009155273,543008541.902455
251.400009155273,543008541.943370
251.900009155273,543008541.984952
252.600006103516,543008542.026146
252.800003051758,543008542.067464
253.400009155273,543008542.108681
253.600006103516,543008542.149527
254.100006103516,543008542.190891
254.600006103516,543008542.232413
255.0,543008542.273538
255.300003051758,543008542.314809
255.800003051758,543008542.356032
256.0,543008542.397266
256.399993896484,543008542.438585
256.800018310547,543008542.479875
257.100006103516,543008542.521238
257.300018310547,543008542.562626
257.300018310547,543008542.603529
257.700012207031,543008542.644775
257.899993896484,543008542.686017
257.899993896484,543008542.727180
258.0,543008542.768776
258.100006103516,543008542.809770
258.399993896484,543008542.851029
258.5,543008542.892506
258.5,543008542.933926
258.700012207031,543008542.974687
258.700012207031,543008543.016016
258.700012207031,543008543.057407
258.899993896484,543008543.099242
258.899993896484,543008543.139658
259.200012207031,543008543.180868
259.600006103516,543008543.222380
