pF,time
225.600006103516,542812447.396163
225.600006103516,542812447.396398
226.199996948242,542812447.397019
227.199996948242,542812447.441088
229.199996948242,542812447.441192
231.0,542812447.486177
231.699996948242,542812447.531182
231.900009155273,542812447.576158
232.300003051758,542812447.621161
232.400009155273,542812447.666176
232.600006103516,542812447.711175
233.699996948242,542812447.755901
236.100006103516,542812447.801201
238.600006103516,542812447.846194
241.5,542812447.891234
244.400009155273,542812447.936254
247.0,542812447.981195
248.699996948242,542812448.025976
249.400009155273,542812448.071251
249.600006103516,542812448.161163
249.800003051758,542812448.161440
250.300003051758,542812448.205989
250.699996948242,542812448.296109
251.5,542812448.296201
251.699996948242,542812448.431246
251.699996948242,542812448.431346
252.300003051758,542812448.431587
252.300003051758,542812448.476216
252.300003051758,542812448.521410
252.300003051758,542812448.566060
252.100006103516,542812448.611168
251.400009155273,542812448.655961
251.0,542812448.700749
250.699996948242,542812448.746398
250.5,542812448.791393
250.5,542812448.836272
250.5,542812448.881151
250.5,542812448.926200
250.5,542812448.971258
250.300003051758,542812449.015773
250.400009155273,542812449.061382
250.400009155273,542812449.106365
250.400009155273,542812449.151093
250.300003051758,542812449.196389
250.199996948242,542812449.241224
250.100006103516,542812449.286339
250.199996948242,542812449.331337
250.199996948242,542812449.376353
250.5,542812449.421332
251.100006103516,542812449.466371
251.100006103516,542812449.511366
251.300003051758,542812449.556367
251.300003051758,542812449.601403
252.0,542812449.646374
252.199996948242,542812449.691034
253.0,542812449.736393
253.100006103516,542812449.781344
253.5,542812449.826503
253.600006103516,542812449.871220
253.5,542812449.916357
253.400009155273,542812449.961393
253.400009155273,542812450.006376
253.100006103516,542812450.051390
252.800003051758,542812450.096282
252.5,542812450.141435
252.400009155273,542812450.186463
251.900009155273,542812450.231384
251.5,542812450.276383
251.199996948242,542812450.321375
251.0,542812450.366429
250.900009155273,542812450.411394
251.0,542812450.456316
251.100006103516,542812450.501415
251.300003051758,542812450.546473
251.400009155273,542812450.591399
252.100006103516,542812450.636475
252.300003051758,542812450.681399
252.800003051758,542812450.725862
252.800003051758,542812450.771450
253.199996948242,542812450.816387
253.600006103516,542812450.861404
253.800003051758,542812450.906393
254.400009155273,542812450.951397
254.800003051758,542812450.996408
255.199996948242,542812451.041438
255.699996948242,542812451.086412
256.0,542812451.131470
256.100006103516,542812451.176415
256.300018310547,542812451.221428
256.5,542812451.266515
256.700012207031,542812451.311423
256.700012207031,542812451.356422
256.800018310547,542812451.401538
256.800018310547,542812451.446491
257.399993896484,542812451.491415
257.399993896484,542812451.536435
257.399993896484,542812451.581418
257.399993896484,542812451.626400
257.300018310547,542812451.670970
257.300018310547,542812451.716498
256.800018310547,542812451.806390
256.300018310547,542812451.806491
256.200012207031,542812451.851566
255.800003051758,542812451.896443
255.5,542812451.986521
255.199996948242,542812451.986616
255.100006103516,542812452.031437
254.900009155273,542812452.076419
254.699996948242,542812452.121454
254.699996948242,542812452.166409
254.300003051758,542812452.211434
254.199996948242,542812452.256389
253.900009155273,542812452.301452
253.699996948242,542812452.346451
253.400009155273,542812452.391448
252.900009155273,542812452.436366
252.800003051758,542812452.481480
252.699996948242,542812452.526466
252.699996948242,542812452.571441
252.699996948242,542812452.616472
252.600006103516,542812452.661499
252.600006103516,542812452.706446
252.5,542812452.750994
252.5,542812452.796010
252.5,542812452.841469
252.400009155273,542812452.931492
252.300003051758,542812452.931585
252.199996948242,542812452.976303
252.199996948242,542812453.021257
252.400009155273,542812453.066484
252.400009155273,542812453.111327
252.400009155273,542812453.156438
252.699996948242,542812453.201514
252.800003051758,542812453.291514
252.900009155273,542812453.291608
253.300003051758,542812453.336453
253.400009155273,542812453.381463
254.300003051758,542812453.426487
254.800003051758,542812453.471528
255.600006103516,542812453.516484
256.300018310547,542812453.561496
256.800018310547,542812453.651809
257.600006103516,542812453.651993
258.899993896484,542812453.696484
259.5,542812453.741391
261.100006103516,542812453.786542
262.600006103516,542812453.831552
264.0,542812453.876672
266.0,542812453.921499
267.0,542812453.966571
269.200012207031,542812454.011521
270.800018310547,542812454.056560
272.600006103516,542812454.101618
274.300018310547,542812454.146508
275.700012207031,542812454.191635
277.100006103516,542812454.236827
278.600006103516,542812454.281460
279.899993896484,542812454.326619
281.5,542812454.371435
283.200012207031,542812454.416479
285.0,542812454.461496
286.5,542812454.506649
287.5,542812454.551711
290.0,542812454.596647
291.100006103516,542812454.641612
293.200012207031,542812454.686643
294.200012207031,542812454.731485
296.200012207031,542812454.776154
297.300018310547,542812454.821638
298.300018310547,542812454.866642
299.0,542812454.911638
299.700012207031,542812454.956661
301.300018310547,542812455.001641
302.100006103516,542812455.046614
302.5,542812455.136570
303.399993896484,542812455.136671
304.200012207031,542812455.181650
304.399993896484,542812455.226664
304.5,542812455.271686
304.5,542812455.316739
304.300018310547,542812455.361672
303.899993896484,542812455.406654
303.700012207031,542812455.451730
303.100006103516,542812455.496720
302.899993896484,542812455.541724
302.100006103516,542812455.586447
301.300018310547,542812455.631650
300.600006103516,542812455.676673
299.300018310547,542812455.721668
298.0,542812455.766673
296.700012207031,542812455.811678
295.0,542812455.856757
294.100006103516,542812455.901639
293.300018310547,542812455.946664
292.399993896484,542812455.991669
292.0,542812456.036654
291.300018310547,542812456.081673
291.0,542812456.126674
290.700012207031,542812456.171530
290.100006103516,542812456.261592
289.700012207031,542812456.261707
289.200012207031,542812456.306707
288.700012207031,542812456.351683
288.5,542812456.396700
288.5,542812456.441836
288.300018310547,542812456.486531
288.100006103516,542812456.531698
288.0,542812456.576742
287.5,542812456.621883
287.300018310547,542812456.666718
287.100006103516,542812456.756581
286.600006103516,542812456.756672
286.399993896484,542812456.801254
285.800018310547,542812456.846716
285.800018310547,542812456.891699
285.100006103516,542812456.936791
284.300018310547,542812456.981724
283.800018310547,542812457.026721
283.300018310547,542812457.071728
282.800018310547,542812457.116151
282.0,542812457.161666
281.600006103516,542812457.206539
281.300018310547,542812457.296657
280.800018310547,542812457.296763
280.300018310547,542812457.341575
279.5,542812457.386860
279.100006103516,542812457.431315
278.700012207031,542812457.476335
278.399993896484,542812457.521564
278.0,542812457.566596
277.0,542812457.612205
276.200012207031,542812457.656397
275.899993896484,542812457.701586
275.899993896484,542812457.746885
275.899993896484,542812457.791661
275.899993896484,542812457.836399
275.899993896484,542812457.881796
275.600006103516,542812457.926579
275.300018310547,542812457.971775
275.300018310547,542812458.016291
275.200012207031,542812458.061721
274.899993896484,542812458.106911
274.399993896484,542812458.151612
274.0,542812458.196847
273.800018310547,542812458.241573
273.600006103516,542812458.286587
272.899993896484,542812458.331783
272.600006103516,542812458.376719
272.399993896484,542812458.421768
272.0,542812458.466922
271.5,542812458.511612
271.200012207031,542812458.556938
271.0,542812458.601723
270.700012207031,542812458.646727
270.700012207031,542812458.691946
270.700012207031,542812458.736730
270.600006103516,542812458.781880
270.100006103516,542812458.826356
270.100006103516,542812458.871744
270.200012207031,542812458.916947
270.200012207031,542812458.961464
270.100006103516,542812459.007060
270.0,542812459.051738
270.100006103516,542812459.096791
270.0,542812459.141754
270.0,542812459.186746
269.600006103516,542812459.276905
269.600006103516,542812459.277040
269.5,542812459.321752
269.700012207031,542812459.366769
269.5,542812459.411971
269.700012207031,542812459.456776
269.800018310547,542812459.501940
270.100006103516,542812459.546992
270.200012207031,542812459.591795
270.200012207031,542812459.636954
270.399993896484,542812459.681963
270.300018310547,542812459.727072
270.5,542812459.771528
270.5,542812459.816975
270.700012207031,542812459.861947
271.0,542812459.906467
271.300018310547,542812459.951958
271.300018310547,542812460.041967
271.300018310547,542812460.042057
271.5,542812460.086986
271.700012207031,542812460.131991
271.800018310547,542812460.176854
272.300018310547,542812460.222026
272.5,542812460.267013
272.600006103516,542812460.311790
273.300018310547,542812460.356965
273.800018310547,542812460.402003
274.200012207031,542812460.446898
275.0,542812460.492040
276.200012207031,542812460.537028
277.100006103516,542812460.581949
277.800018310547,542812460.627049
278.700012207031,542812460.717206
279.800018310547,542812460.717297
280.800018310547,542812460.762089
281.399993896484,542812460.806996
282.5,542812460.851432
284.0,542812460.896981
285.300018310547,542812460.941831
286.5,542812460.986801
287.600006103516,542812461.032015
288.5,542812461.076973
289.200012207031,542812461.122023
290.200012207031,542812461.167067
290.700012207031,542812461.211998
290.700012207031,542812461.257139
291.600006103516,542812461.301829
292.100006103516,542812461.347026
292.100006103516,542812461.392044
292.300018310547,542812461.437026
292.0,542812461.481997
292.300018310547,542812461.527048
292.0,542812461.571956
291.600006103516,542812461.617152
291.600006103516,542812461.661762
291.0,542812461.707197
290.300018310547,542812461.751660
289.399993896484,542812461.797030
288.300018310547,542812461.841926
287.300018310547,542812461.887150
286.300018310547,542812461.932041
285.300018310547,542812461.977183
284.600006103516,542812462.021804
283.600006103516,542812462.067032
282.0,542812462.111733
281.0,542812462.157051
279.700012207031,542812462.201996
278.700012207031,542812462.247053
277.200012207031,542812462.292166
275.700012207031,542812462.337151
274.399993896484,542812462.382169
273.700012207031,542812462.426854
272.399993896484,542812462.472171
271.700012207031,542812462.517004
270.899993896484,542812462.607082
270.399993896484,542812462.607172
269.5,542812462.652227
268.700012207031,542812462.696873
268.200012207031,542812462.742161
267.899993896484,542812462.786975
267.899993896484,542812462.832155
267.5,542812462.876632
267.300018310547,542812462.922265
267.100006103516,542812462.967207
266.800018310547,542812463.012212
266.600006103516,542812463.147220
266.600006103516,542812463.147360
266.600006103516,542812463.147514
266.600006103516,542812463.192189
266.600006103516,542812463.237193
266.5,542812463.282167
266.399993896484,542812463.372095
266.300018310547,542812463.372186
266.100006103516,542812463.417012
265.700012207031,542812463.506863
265.700012207031,542812463.507143
265.899993896484,542812463.551995
265.899993896484,542812463.597234
265.899993896484,542812463.642011
265.899993896484,542812463.687305
266.0,542812463.732014
266.0,542812463.776769
265.899993896484,542812463.821816
265.899993896484,542812463.911930
266.200012207031,542812463.912083
266.200012207031,542812463.956935
266.300018310547,542812464.002249
266.300018310547,542812464.047245
266.600006103516,542812464.092160
266.600006103516,542812464.137195
266.399993896484,542812464.182026
266.100006103516,542812464.227339
266.100006103516,542812464.272155
265.899993896484,542812464.317226
265.899993896484,542812464.362212
265.899993896484,542812464.407188
265.899993896484,542812464.452219
265.899993896484,542812464.497039
265.899993896484,542812464.542290
266.0,542812464.587233
266.0,542812464.632250
265.899993896484,542812464.677379
265.899993896484,542812464.722216
265.800018310547,542812464.767031
265.800018310547,542812464.812045
265.899993896484,542812464.856987
265.899993896484,542812464.901791
265.899993896484,542812464.947327
265.899993896484,542812464.992231
265.899993896484,542812465.127468
265.800018310547,542812465.127569
265.800018310547,542812465.127653
265.800018310547,542812465.172357
265.800018310547,542812465.217220
265.700012207031,542812465.262217
265.800018310547,542812465.307263
265.899993896484,542812465.352287
266.0,542812465.397348
266.100006103516,542812465.442225
266.0,542812465.487209
266.0,542812465.532222
266.0,542812465.577251
266.0,542812465.622267
266.0,542812465.667063
266.0,542812465.712267
266.0,542812465.756920
266.0,542812465.802094
266.0,542812465.847266
266.0,542812465.937355
266.100006103516,542812465.937474
266.100006103516,542812465.982312
265.899993896484,542812466.027251
265.899993896484,542812466.072265
265.899993896484,542812466.117275
265.899993896484,542812466.162293
266.0,542812466.207198
266.0,542812466.252304
266.0,542812466.297289
265.899993896484,542812466.342273
265.899993896484,542812466.387415
265.899993896484,542812466.432482
266.0,542812466.477426
266.0,542812466.522405
265.899993896484,542812466.567425
265.899993896484,542812466.612397
265.899993896484,542812466.792141
265.899993896484,542812466.792353
266.0,542812466.792635
266.0,542812466.793185
265.800018310547,542812466.882417
265.800018310547,542812466.882534
266.100006103516,542812466.926903
266.100006103516,542812466.972429
266.300018310547,542812467.016949
266.399993896484,542812467.062439
266.399993896484,542812467.107274
266.399993896484,542812467.152331
266.300018310547,542812467.242224
266.300018310547,542812467.242322
266.300018310547,542812467.287453
266.200012207031,542812467.332385
266.200012207031,542812467.377472
266.200012207031,542812467.422436
266.300018310547,542812467.467415
266.0,542812467.512469
266.300018310547,542812467.557467
266.300018310547,542812467.602089
266.300018310547,542812467.647029
266.100006103516,542812467.692264
266.100006103516,542812467.737482
266.200012207031,542812467.782302
266.200012207031,542812467.827261
266.200012207031,542812467.917249
266.100006103516,542812467.917347
266.100006103516,542812467.962111
266.100006103516,542812468.007501
266.399993896484,542812468.052273
267.0,542812468.097518
267.399993896484,542812468.142312
267.5,542812468.232392
268.200012207031,542812468.232512
268.5,542812468.277298
268.800018310547,542812468.322450
269.399993896484,542812468.367445
270.0,542812468.412544
270.5,542812468.457461
270.5,542812468.502519
270.899993896484,542812468.547313
271.200012207031,542812468.592364
271.800018310547,542812468.637492
272.100006103516,542812468.682499
272.600006103516,542812468.727577
273.300018310547,542812468.772390
273.300018310547,542812468.817363
273.899993896484,542812468.862427
274.300018310547,542812468.907505
274.600006103516,542812468.952303
275.700012207031,542812468.997584
277.5,542812469.042423
279.700012207031,542812469.087506
281.800018310547,542812469.132577
283.100006103516,542812469.177313
284.600006103516,542812469.222234
285.800018310547,542812469.267439
287.300018310547,542812469.312493
290.300018310547,542812469.356956
292.700012207031,542812469.402473
294.700012207031,542812469.447186
296.5,542812469.492250
297.100006103516,542812469.537553
297.899993896484,542812469.582515
298.200012207031,542812469.627468
298.300018310547,542812469.672391
299.100006103516,542812469.717538
299.5,542812469.762534
300.200012207031,542812469.807627
300.899993896484,542812469.852341
300.899993896484,542812469.897484
300.5,542812469.942392
300.5,542812470.032415
300.5,542812470.032514
300.399993896484,542812470.122567
300.100006103516,542812470.122661
299.600006103516,542812470.167320
299.5,542812470.212647
299.5,542812470.257518
299.5,542812470.302674
299.0,542812470.482627
298.5,542812470.482765
297.5,542812470.482887
296.399993896484,542812470.483438
294.700012207031,542812470.527664
291.899993896484,542812470.572586
290.300018310547,542812470.617739
288.0,542812470.662684
286.100006103516,542812470.707649
284.100006103516,542812470.752654
282.800018310547,542812470.797671
281.100006103516,542812470.842662
279.800018310547,542812470.932568
278.300018310547,542812470.932659
277.300018310547,542812470.977434
276.800018310547,542812471.022637
275.600006103516,542812471.067687
274.0,542812471.112678
272.100006103516,542812471.157629
270.100006103516,542812471.202715
268.899993896484,542812471.247733
267.600006103516,542812471.292733
266.399993896484,542812471.342753
265.399993896484,542812471.382652
264.800018310547,542812471.427520
264.800018310547,542812471.472639
264.800018310547,542812471.517705
264.800018310547,542812471.562809
264.700012207031,542812471.607692
264.600006103516,542812471.652669
264.600006103516,542812471.697682
264.600006103516,542812471.742262
264.600006103516,542812471.787591
264.600006103516,542812471.832504
264.700012207031,542812471.877222
264.800018310547,542812471.922666
264.800018310547,542812471.967510
264.399993896484,542812472.012545
264.399993896484,542812472.057711
264.5,542812472.102520
264.5,542812472.147818
264.5,542812472.192729
264.399993896484,542812472.237529
264.200012207031,542812472.282743
264.200012207031,542812472.327549
264.100006103516,542812472.372453
264.0,542812472.417730
263.899993896484,542812472.462543
263.5,542812472.507656
263.5,542812472.552724
263.5,542812472.597317
263.100006103516,542812472.642539
263.0,542812472.687516
263.0,542812472.732756
263.0,542812472.822761
263.100006103516,542812472.822854
263.100006103516,542812472.867711
263.300018310547,542812472.912745
263.300018310547,542812472.957369
263.399993896484,542812473.002771
263.399993896484,542812473.047172
263.5,542812473.092569
263.5,542812473.137757
263.5,542812473.182768
263.700012207031,542812473.227770
263.700012207031,542812473.272716
263.700012207031,542812473.362772
263.800018310547,542812473.362862
263.800018310547,542812473.407683
264.200012207031,542812473.452976
264.200012207031,542812473.497735
264.200012207031,542812473.542732
264.200012207031,542812473.632735
264.200012207031,542812473.632826
264.200012207031,542812473.677588
263.899993896484,542812473.722755
263.899993896484,542812473.767749
263.899993896484,542812473.812858
264.100006103516,542812473.857712
264.100006103516,542812473.947796
264.0,542812473.947913
264.0,542812473.992870
264.0,542812474.037741
264.0,542812474.082770
264.100006103516,542812474.127597
264.200012207031,542812474.172726
264.200012207031,542812474.217825
264.200012207031,542812474.262601
264.100006103516,542812474.307886
264.100006103516,542812474.352839
264.100006103516,542812474.397968
264.100006103516,542812474.442775
264.100006103516,542812474.487912
264.100006103516,542812474.532870
264.200012207031,542812474.577870
264.200012207031,542812474.622882
264.200012207031,542812474.667920
264.200012207031,542812474.712851
264.200012207031,542812474.757902
264.200012207031,542812474.802593
264.200012207031,542812474.937901
264.100006103516,542812474.938028
264.100006103516,542812474.938229
264.0,542812474.982888
264.0,542812475.027784
264.0,542812475.072868
264.0,542812475.117709
264.0,542812475.163050
264.0,542812475.207772
264.0,542812475.252712
263.899993896484,542812475.297959
263.899993896484,542812475.342833
263.800018310547,542812475.388094
264.100006103516,542812475.432772
264.100006103516,542812475.567639
264.100006103516,542812475.567767
264.100006103516,542812475.568191
264.0,542812475.613054
264.0,542812475.657734
264.0,542812475.702620
264.0,542812475.792722
