pF,time
231.600006103516,543006568.415311
231.600006103516,543006568.456894
231.699996948242,543006568.497464
231.800003051758,543006568.539139
231.800003051758,543006568.580204
231.800003051758,543006568.621088
231.900009155273,543006568.662763
231.900009155273,543006568.704140
231.900009155273,543006568.745415
231.900009155273,543006568.786418
231.900009155273,543006568.827834
232.0,543006568.869222
232.100006103516,543006568.910457
232.100006103516,543006568.951773
232.0,543006569.033990
232.0,543006569.034107
232.0,543006569.075475
231.800003051758,543006569.240168
231.699996948242,543006569.240319
231.699996948242,543006569.240675
231.900009155273,543006569.241256
231.900009155273,543006569.281520
231.800003051758,543006569.363760
231.800003051758,543006569.364035
231.699996948242,543006569.405425
231.699996948242,543006569.446694
231.699996948242,543006569.488054
231.5,543006569.570296
231.699996948242,543006569.570387
231.5,543006569.611392
231.699996948242,543006569.652968
231.699996948242,543006569.694175
231.699996948242,543006569.735393
231.600006103516,543006569.776647
231.5,543006569.818122
231.400009155273,543006569.859010
231.100006103516,543006569.900312
231.100006103516,543006569.941666
230.900009155273,543006569.982757
230.900009155273,543006570.024165
231.0,543006570.065218
231.0,543006570.106863
231.0,543006570.148015
231.100006103516,543006570.188852
231.100006103516,543006570.271546
231.5,543006570.271639
231.5,543006570.312829
231.5,543006570.354253
231.800003051758,543006570.395379
231.900009155273,543006570.436575
232.100006103516,543006570.519070
232.300003051758,543006570.519164
232.400009155273,543006570.560326
232.800003051758,543006570.601750
233.0,543006570.642393
233.100006103516,543006570.683989
233.199996948242,543006570.766440
233.199996948242,543006570.766531
233.5,543006570.807966
233.600006103516,543006570.849131
234.100006103516,543006570.890593
234.400009155273,543006570.931686
234.5,543006570.972902
234.900009155273,543006571.013933
234.900009155273,543006571.096452
235.0,543006571.096543
235.100006103516,543006571.137593
235.100006103516,543006571.179144
235.600006103516,543006571.219885
235.800003051758,543006571.261788
236.0,543006571.302802
236.100006103516,543006571.344027
236.400009155273,543006571.426658
236.400009155273,543006571.426777
236.400009155273,543006571.467924
236.400009155273,543006571.508961
236.400009155273,543006571.550214
236.5,543006571.591616
236.600006103516,543006571.632879
236.600006103516,543006571.674169
236.600006103516,543006571.715417
236.699996948242,543006571.756471
236.800003051758,543006571.797727
236.800003051758,543006571.839164
236.800003051758,543006571.880258
236.800003051758,543006571.921434
236.900009155273,543006571.962878
237.0,543006572.003888
237.0,543006572.045199
237.0,543006572.127416
237.0,543006572.127686
237.0,543006572.169215
237.100006103516,543006572.210217
237.100006103516,543006572.251639
237.100006103516,543006572.292792
236.800003051758,543006572.334237
236.800003051758,543006572.375437
237.100006103516,543006572.416426
237.100006103516,543006572.457662
237.100006103516,543006572.498925
236.900009155273,543006572.540265
236.900009155273,543006572.622866
236.900009155273,543006572.663764
236.900009155273,543006572.705276
236.900009155273,543006572.746427
236.900009155273,543006572.787946
236.900009155273,543006572.870244
236.900009155273,543006572.870331
236.900009155273,543006572.911517
236.800003051758,543006572.953028
236.699996948242,543006572.993896
236.699996948242,543006573.035087
236.600006103516,543006573.076170
236.199996948242,543006573.158981
236.100006103516,543006573.159072
235.699996948242,543006573.200706
235.699996948242,543006573.241303
235.800003051758,543006573.282775
235.800003051758,543006573.324133
235.800003051758,543006573.365282
235.800003051758,543006573.447748
235.5,543006573.447843
235.400009155273,543006573.489188
235.400009155273,543006573.530280
235.400009155273,543006573.571897
235.800003051758,543006573.612897
235.800003051758,543006573.654127
236.100006103516,543006573.695415
236.400009155273,543006573.736660
236.5,543006573.777978
237.100006103516,543006573.819169
237.800003051758,543006573.860619
237.800003051758,543006573.901514
237.800003051758,543006573.942817
237.800003051758,543006573.984017
237.800003051758,543006574.025266
237.800003051758,543006574.066312
237.600006103516,543006574.107932
237.600006103516,543006574.148990
237.199996948242,543006574.190434
237.199996948242,543006574.231491
236.900009155273,543006574.272867
236.699996948242,543006574.314006
236.600006103516,543006574.355416
236.400009155273,543006574.396436
236.199996948242,543006574.437846
236.0,543006574.479331
235.900009155273,543006574.520078
235.5,543006574.561701
235.5,543006574.602906
235.199996948242,543006574.644215
235.199996948242,543006574.684929
235.199996948242,543006574.726669
235.300003051758,543006574.768041
235.300003051758,543006574.809267
