pF,time
253.300003051758,543007519.017490
253.199996948242,543007519.017929
253.0,543007519.058985
253.0,543007519.099858
252.900009155273,543007519.141309
252.900009155273,543007519.182377
252.800003051758,543007519.223804
252.800003051758,543007519.265225
252.800003051758,543007519.306526
252.900009155273,543007519.347647
252.800003051758,543007519.388959
252.699996948242,543007519.430196
252.699996948242,543007519.471671
252.600006103516,543007519.512742
252.400009155273,543007519.553952
252.400009155273,543007519.595313
252.400009155273,543007519.636356
252.400009155273,543007519.677707
252.400009155273,543007519.718793
252.5,543007519.760273
252.5,543007519.801282
252.800003051758,543007519.842727
252.800003051758,543007519.883781
253.0,543007519.966252
253.0,543007519.966350
253.100006103516,543007520.007729
253.300003051758,543007520.048889
253.600006103516,543007520.090167
253.800003051758,543007520.131434
254.0,543007520.172750
254.400009155273,543007520.213927
254.600006103516,543007520.255171
254.800003051758,543007520.296503
255.0,543007520.337475
255.300003051758,543007520.419964
255.5,543007520.420055
255.600006103516,543007520.461407
255.699996948242,543007520.502726
255.800003051758,543007520.543761
255.900009155273,543007520.585004
255.900009155273,543007520.667468
255.800003051758,543007520.667561
255.800003051758,543007520.708983
255.600006103516,543007520.750004
255.600006103516,543007520.791370
255.5,543007520.832296
255.5,543007520.873878
255.300003051758,543007520.915292
255.300003051758,543007520.956250
255.400009155273,543007520.997681
255.400009155273,543007521.038910
255.400009155273,543007521.080088
255.400009155273,543007521.121428
255.400009155273,543007521.162471
255.300003051758,543007521.203773
255.400009155273,543007521.245117
255.5,543007521.286237
255.5,543007521.327706
255.5,543007521.410182
255.5,543007521.410274
255.5,543007521.492703
255.5,543007521.492797
255.400009155273,543007521.533744
255.5,543007521.575230
255.400009155273,543007521.616233
255.5,543007521.657851
255.400009155273,543007521.698673
255.400009155273,543007521.740130
255.400009155273,543007521.781409
255.300003051758,543007521.822634
255.300003051758,543007521.863872
255.300003051758,543007521.946376
255.199996948242,543007521.946473
255.199996948242,543007521.987679
255.0,543007522.028570
254.600006103516,543007522.070130
254.600006103516,543007522.111359
254.400009155273,543007522.152463
254.0,543007522.193884
253.900009155273,543007522.235021
253.699996948242,543007522.276552
253.5,543007522.317458
253.400009155273,543007522.359098
253.0,543007522.399954
253.0,543007522.441580
252.900009155273,543007522.482719
252.800003051758,543007522.524082
252.800003051758,543007522.565030
252.699996948242,543007522.606432
252.5,543007522.647464
252.300003051758,543007522.689107
252.300003051758,543007522.729853
252.400009155273,543007522.771581
252.400009155273,543007522.812642
252.300003051758,543007522.853992
252.300003051758,543007522.895249
252.100006103516,543007522.936481
252.100006103516,543007522.977204
252.100006103516,543007523.018911
252.100006103516,543007523.060462
252.100006103516,543007523.101297
252.199996948242,543007523.142502
252.100006103516,543007523.225331
252.199996948242,543007523.266313
252.600006103516,543007523.307786
252.900009155273,543007523.348642
252.900009155273,543007523.390272
252.900009155273,543007523.431454
252.800003051758,543007523.472805
252.900009155273,543007523.513862
253.0,543007523.555447
253.0,543007523.596405
253.0,543007523.637654
252.800003051758,543007523.678945
252.800003051758,543007523.720030
252.600006103516,543007523.761470
252.100006103516,543007523.802576
252.100006103516,543007523.844023
252.100006103516,543007523.885276
251.900009155273,543007523.926453
251.800003051758,543007523.967545
251.699996948242,543007524.008884
251.699996948242,543007524.050071
251.600006103516,543007524.091532
251.600006103516,543007524.132255
251.699996948242,543007524.174029
251.699996948242,543007524.215148
251.5,543007524.256275
251.400009155273,543007524.297828
251.300003051758,543007524.338774
251.100006103516,543007524.380202
250.900009155273,543007524.421465
250.900009155273,543007524.462671
250.900009155273,543007524.503987
250.900009155273,543007524.545152
250.800003051758,543007524.586496
250.699996948242,543007524.668768
250.800003051758,543007524.668886
250.699996948242,543007524.710184
250.699996948242,543007524.751281
250.699996948242,543007524.792747
250.699996948242,543007524.833784
250.600006103516,543007524.875027
250.600006103516,543007524.916266
250.600006103516,543007524.957692
250.400009155273,543007524.998609
250.400009155273,543007525.040172
250.400009155273,543007525.081604
250.699996948242,543007525.122683
250.900009155273,543007525.163632
251.5,543007525.205222
252.100006103516,543007525.246463
252.5,543007525.287854
253.199996948242,543007525.328969
253.800003051758,543007525.370158
254.100006103516,543007525.411450
254.800003051758,543007525.452627
255.100006103516,543007525.493978
255.699996948242,543007525.534999
256.399993896484,543007525.576340
256.800018310547,543007525.617287
257.100006103516,543007525.658985
257.899993896484,543007525.700204
257.899993896484,543007525.741412
258.200012207031,543007525.782393
258.5,543007525.823959
258.600006103516,543007525.865118
259.200012207031,543007525.989115
259.200012207031,543007525.989248
259.200012207031,543007525.989357
259.200012207031,543007526.029772
259.700012207031,543007526.071460
259.700012207031,543007526.112731
259.899993896484,543007526.153960
259.700012207031,543007526.195262
259.700012207031,543007526.236105
259.700012207031,543007526.277590
259.700012207031,543007526.318731
259.700012207031,543007526.360385
259.700012207031,543007526.401220
259.800018310547,543007526.442762
259.800018310547,543007526.483852
259.800018310547,543007526.566306
259.800018310547,543007526.566398
259.600006103516,543007526.607978
259.600006103516,543007526.648572
259.600006103516,543007526.689865
259.600006103516,543007526.731430
259.700012207031,543007526.772815
259.600006103516,543007526.813858
259.600006103516,543007526.855242
259.600006103516,543007526.896442
259.5,543007526.937786
259.300018310547,543007527.020200
259.300018310547,543007527.020294
259.300018310547,543007527.061180
259.200012207031,543007527.102600
259.100006103516,543007527.144208
258.899993896484,543007527.185207
258.800018310547,543007527.226601
258.800018310547,543007527.267588
258.800018310547,543007527.308989
258.399993896484,543007527.350056
258.399993896484,543007527.391699
258.399993896484,543007527.432571
258.300018310547,543007527.474049
257.800018310547,543007527.515066
257.700012207031,543007527.556534
257.5,543007527.597572
257.100006103516,543007527.638991
256.899993896484,543007527.679875
256.800018310547,543007527.721528
256.800018310547,543007527.762750
256.200012207031,543007527.803978
256.0,543007527.845392
255.5,543007527.886538
255.300003051758,543007527.927425
255.100006103516,543007527.968781
255.0,543007528.010058
255.0,543007528.051014
254.5,543007528.092425
254.300003051758,543007528.133782
254.0,543007528.175199
253.5,543007528.216304
253.5,543007528.257926
253.400009155273,543007528.298796
253.100006103516,543007528.340198
252.900009155273,543007528.381423
252.600006103516,543007528.422923
252.600006103516,543007528.463903
252.5,543007528.505264
252.0,543007528.546537
251.600006103516,543007528.587754
251.5,543007528.628873
251.199996948242,543007528.670269
251.199996948242,543007528.711489
251.100006103516,543007528.752540
250.900009155273,543007528.793874
250.900009155273,543007528.834812
250.699996948242,543007528.876468
250.699996948242,543007528.917539
250.600006103516,543007528.959051
250.699996948242,543007529.000011
250.600006103516,543007529.041496
250.5,543007529.124107
250.5,543007529.124212
250.5,543007529.164909
250.400009155273,543007529.206451
250.300003051758,543007529.247355
250.300003051758,543007529.288767
250.199996948242,543007529.330246
250.300003051758,543007529.371428
250.100006103516,543007529.412755
250.100006103516,543007529.453792
250.0,543007529.495188
250.0,543007529.536353
250.100006103516,543007529.577567
250.300003051758,543007529.618585
250.300003051758,543007529.660020
250.300003051758,543007529.701389
250.5,543007529.742672
250.699996948242,543007529.783747
251.100006103516,543007529.825153
251.400009155273,543007529.866289
251.600006103516,543007529.907708
252.199996948242,543007529.990236
252.400009155273,543007529.990364
252.800003051758,543007530.031245
253.0,543007530.072630
253.300003051758,543007530.113836
253.400009155273,543007530.155228
253.5,543007530.237582
254.0,543007530.237682
254.199996948242,543007530.402786
254.5,543007530.402917
